CustomerID	NameStyle	Title	FirstName	MiddleName	LastName	Suffix	CompanyName	SalesPerson	EmailAddress	Phone	PasswordHash	PasswordSalt	ModifiedDate
1	0	Mr.	Orlando	N.	Gee		A Bike Store	adventure-works\pamela0	orlando0@adventure-works.com	245-555-0173	L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=	1KjXYs4=	2005-08-01 00:00:00
2	0	Mr.	Keith		Harris		Progressive Sports	adventure-works\david8	keith0@adventure-works.com	170-555-0127	YPdtRdvqeAhj6wyxEsFdshBDNXxkCXn+CRgbvJItknw=	fs1ZGhY=	2006-08-01 00:00:00
3	0	Ms.	Donna	F.	Carreras		Advanced Bike Components	adventure-works\jillian0	donna0@adventure-works.com	279-555-0130	LNoK27abGQo48gGue3EBV/UrlYSToV0/s87dCRV7uJk=	YTNH5Rw=	2005-09-01 00:00:00
4	0	Ms.	Janet	M.	Gates		Modular Cycle Systems	adventure-works\jillian0	janet1@adventure-works.com	710-555-0173	ElzTpSNbUW1Ut+L5cWlfR7MF6nBZia8WpmGaQPjLOJA=	nm7D5e4=	2006-07-01 00:00:00
5	0	Mr.	Lucy		Harrington		Metropolitan Sports Supply	adventure-works\shu0	lucy0@adventure-works.com	828-555-0186	KJqV15wsX3PG8TS5GSddp6LFFVdd3CoRftZM/tP0+R4=	cNFKU4w=	2006-09-01 00:00:00
6	0	Ms.	Rosmarie	J.	Carroll		Aerobic Exercise Company	adventure-works\linda3	rosmarie0@adventure-works.com	244-555-0112	OKT0scizCdIzymHHOtyJKQiC/fCILSooSZ8dQ2Y34VM=	ihWf50M=	2007-09-01 00:00:00
7	0	Mr.	Dominic	P.	Gash		Associated Bikes	adventure-works\shu0	dominic0@adventure-works.com	192-555-0173	ZccoP/jZGQm+Xpzc7RKwDhS11YFNybwcPVRYTSNcnSg=	sPoUBSQ=	2006-07-01 00:00:00
10	0	Ms.	Kathleen	M.	Garza		Rural Cycle Emporium	adventure-works\josé1	kathleen0@adventure-works.com	150-555-0127	Qa3aMCxNbVLGrc0b99KsbQqiVgwYDfHcsK9GZSUxcTM=	Ls05W3g=	2006-09-01 00:00:00
11	0	Ms.	Katherine		Harding		Sharp Bikes	adventure-works\josé1	katherine0@adventure-works.com	926-555-0159	uRlorVzDGNJIX9I+ehTlRK+liT4UKRgWhApJgUMC2d4=	jpHKbqE=	2005-08-01 00:00:00
12	0	Mr.	Johnny	A.	Caprio	Jr.	Bikes and Motorbikes	adventure-works\garrett1	johnny0@adventure-works.com	112-555-0191	jtF9jBoFYeJTaET7x+eJDkd7BzMz15Wo9odbGPBaIak=	wVLnvHo=	2006-08-01 00:00:00
16	0	Mr.	Christopher	R.	Beck	Jr.	Bulk Discount Store	adventure-works\jae0	christopher1@adventure-works.com	1 (11) 500 555-0132	sKt9daCzEEKWAzivEGPOp8tmaM1R3I+aJfcBjzJRFLo=	8KfYx/4=	2006-09-01 00:00:00
18	0	Mr.	David	J.	Liu		Catalog Store	adventure-works\michael9	david20@adventure-works.com	440-555-0132	61zeTkO+eI5g8GG0swny8Wp/6GzZMFnT71fnW4lTHNY=	c7Ttvv0=	2005-08-01 00:00:00
19	0	Mr.	John	A.	Beaver		Center Cycle Shop	adventure-works\pamela0	john8@adventure-works.com	521-555-0195	DzbqWX7B3EK5Dub92CKHYSUGKGbZCbrcVDpVe/xyBeI=	zXNgrJw=	2007-04-01 00:00:00
20	0	Ms.	Jean	P.	Handley		Central Discount Store	adventure-works\david8	jean1@adventure-works.com	582-555-0113	o1GVo3vExeNzo0/ctdRGf2eDK3uzTlcUbr18tN+Slf8=	uMsvfdo=	2005-09-01 00:00:00
21	0		Jinghao		Liu		Chic Department Stores	adventure-works\jillian0	jinghao1@adventure-works.com	928-555-0116	IaD5AeqK9mRiIrJi/etZGVO6EiybLf/oksA2CqrpoJ0=	p6pOqKc=	2006-09-01 00:00:00
22	0	Ms.	Linda	E.	Burnett		Travel Systems	adventure-works\jillian0	linda4@adventure-works.com	121-555-0121	23AwhujCoXYSPiN/B+G8Z9rk36xl35EbdLT7akTMTqU=	SmyIPjE=	2005-08-01 00:00:00
23	0	Mr.	Kerim		Hanif		Bike World	adventure-works\shu0	kerim0@adventure-works.com	216-555-0122	d0WSjosAd7Y3XOWjNAkoTClCb50vwPuAawOSI1iosgs=	33g5co8=	2006-09-01 00:00:00
24	0	Mr.	Kevin		Liu		Eastside Department Store	adventure-works\linda3	kevin5@adventure-works.com	926-555-0164	ylTpkIOHKLcjihNjS0j/k10eOHOsWQMNhlbuOCp+UTY=	TgZnUOg=	2006-09-01 00:00:00
25	0	Mr.	Donald	L.	Blanton		Coalition Bike Company	adventure-works\shu0	donald0@adventure-works.com	357-555-0161	pKYDelLBOZMO98GBzhMxBSzzE0gUYKx9dXzYTYNuBgw=	jKtOaOw=	2006-09-01 00:00:00
28	0	Ms.	Jackie	E.	Blackwell		Commuter Bicycle Store	adventure-works\josé1	jackie0@adventure-works.com	972-555-0163	wqhgKfOTfef4Zo3cb6FwsFzvG/yCVstuYh3AuwjRszQ=	SZ+r60o=	2007-08-01 00:00:00
29	0	Mr.	Bryan		Hamilton		Cross-Country Riding Supplies	adventure-works\josé1	bryan2@adventure-works.com	344-555-0144	ftRWIIT4oF+if+ddn1ROYXHw6PAooKFX3uALZ0uEU98=	IRNPDIw=	2005-08-01 00:00:00
30	0	Mr.	Todd	R.	Logan		Cycle Merchants	adventure-works\garrett1	todd0@adventure-works.com	783-555-0110	FV6z03ywMJOumcU+TEoL/Z/s4YP2fe8B3MJUUTA0CHU=	mFRhaEg=	2006-09-01 00:00:00
34	0	Ms.	Barbara	J.	German		Cycles Wholesaler & Mfg.	adventure-works\jae0	barbara4@adventure-works.com	1 (11) 500 555-0181	2Pyd3S3Os61yt+lfSjMgSDNwT1LL4Qs51m1ob42We40=	Jvsxxrg=	2007-07-01 00:00:00
37	0	Mr.	Jim		Geist		Two Bike Shops	adventure-works\pamela0	jim1@adventure-works.com	724-555-0161	cvqeC4fJcKwJ9jlluiWvK5/MyuSi8neLnjFDGdvzJy4=	ot8WcXk=	2006-09-01 00:00:00
38	0	Ms.	Betty	M.	Haines		Finer Mart	adventure-works\david8	betty0@adventure-works.com	867-555-0114	Q/nGAVzOO1ZT/4+BQ1kwltqQyzycLA2GGmDmBBxLMnM=	6IvcbVg=	2007-09-01 00:00:00
39	0	Ms.	Sharon	J.	Looney		Fitness Hotel	adventure-works\jillian0	sharon2@adventure-works.com	377-555-0132	Uo3kAuNh936QfPTIfPt6I6Z3+olLMRu5IC5awuzDaG8=	uHgb0IU=	2006-09-01 00:00:00
40	0	Mr.	Darren		Gehring		Journey Sporting Goods	adventure-works\jillian0	darren0@adventure-works.com	417-555-0182	kqptixZ7LqTuOKcc7ylpabWrgWr5BDXa2fpkDxEwaCY=	Xe7grug=	2005-08-01 00:00:00
41	0	Ms.	Erin	M.	Hagens		Distant Inn	adventure-works\shu0	erin1@adventure-works.com	244-555-0127	92Sfw/bl0dUJO9SAfoKn452VJcstSo2lgAbSPk97nRA=	8soIcx8=	2006-07-01 00:00:00
42	0	Mr.	Jeremy		Los		Healthy Activity Store	adventure-works\linda3	jeremy0@adventure-works.com	911-555-0165	jLMkpmNutZFzWw7sSWZeqd91vtlRwaWx2Ub21mhsvlU=	JK9/WX8=	2006-07-01 00:00:00
43	0	Ms.	Elsa		Leavitt		Frugal Bike Shop	adventure-works\shu0	elsa0@adventure-works.com	482-555-0174	BmJaM+147GrhU00kNTtaTolp0EJcarJK/SCfew4ZiYA=	YADhpPo=	2006-08-01 00:00:00
46	0	Mr.	David	O	Lawrence		Gear-Shift Bikes Limited	adventure-works\josé1	david19@adventure-works.com	653-555-0159	HyZexVTTLfKfhx/Sb+XHQb4vta2LC1FD3OYIkpmzMlQ=	/kc6RdY=	2006-12-01 00:00:00
47	0	Ms.	Hattie	J.	Haemon		Greater Bike Store	adventure-works\josé1	hattie0@adventure-works.com	141-555-0172	RLemw98UkhyklI9z6Kx01t3fpE6z6E9v5GdRReTdOIY=	8n38uVg=	2005-09-01 00:00:00
48	0	Ms.	Anita	R.	Lucerne		Grand Industries	adventure-works\garrett1	anita0@adventure-works.com	164-555-0118	YYTwMHBzX9ZM2XoYAzTo7bVfsHm05BO3Sl1+sokcRjM=	Zb6O1a0=	2007-09-01 00:00:00
52	0	Ms.	Rebecca		Laszlo		Instruments and Parts Company	adventure-works\jae0	rebecca2@adventure-works.com	1 (11) 500 555-0155	ox4SPBzzVPKyCVoIcZvkdVLtnQlKoDXCciBGcqVAfrI=	n7ydrrc=	2007-09-01 00:00:00
55	0	Mr.	Eric		Lang		Kickstands and Accessories Company	adventure-works\pamela0	eric6@adventure-works.com	932-555-0163	katp5sn21ZqJq5Z26YRBk9XXP3iFjpsX7tNPYAAxZlI=	xw9RymE=	2007-09-01 00:00:00
56	0	Mr.	Brian		Groth		Latest Accessories Sales	adventure-works\david8	brian5@adventure-works.com	461-555-0118	tbk7TwAC5jsqEhFRRIhnL9kPBoTy3XS+EjlReKVp5mw=	hpOsvJU=	2006-08-01 00:00:00
57	0	Ms.	Judy	R.	Lundahl		Leading Sales & Repair	adventure-works\jillian0	judy1@adventure-works.com	260-555-0130	VzG/BDjkh2mMWAn2eZ/FQDI5/pGurtzdCfxTaCf6zAs=	N5Ajt+s=	2005-09-01 00:00:00
58	0	Mr.	Peter		Kurniawan		Largest Bike Store	adventure-works\jillian0	peter4@adventure-works.com	436-555-0160	el1s9e+hWeb+79bwrhU+hxHEyJN+j6tR8vWyKJDZmTs=	QgzjTPU=	2005-11-01 00:00:00
59	0	Mr.	Douglas		Groncki		Locks Company	adventure-works\shu0	douglas2@adventure-works.com	385-555-0140	J9nhrWh6kpc/dGBkN7HRxrrbquy1Rit9UMPv9rbYjBs=	KiAAI5M=	2007-09-01 00:00:00
60	0	Mr.	Sean	J.	Lunt		Main Bicycle Services	adventure-works\linda3	sean4@adventure-works.com	183-555-0111	NCIEHFdWOrgXFDd6SE817buY5XNWSBCQZlOsgOGIP2E=	eK6Wzw0=	2007-09-01 00:00:00
61	0	Mr.	Jeffrey		Kurtz		Many Bikes Store	adventure-works\shu0	jeffrey3@adventure-works.com	452-555-0179	zn3Nk0+i/zyvxFNh3OziN2Pxa3NfiIlVMJ9Ox86ytao=	5MZXwF4=	2006-09-01 00:00:00
64	0	Mr.	Vamsi		Kuppa		Metal Clearing House	adventure-works\josé1	vamsi1@adventure-works.com	290-555-0196	6p4SZnWdWPrBclHkaWFeooblNWE+Y4VJiuTM9hyonDI=	HaDRSbY=	2007-08-01 00:00:00
65	0	Ms.	Jane	P.	Greer		Metro Manufacturing	adventure-works\josé1	jane2@adventure-works.com	737-555-0163	gCWE10xc3haq9E82Ksvg2GS6WBBD0H0ZF25YAS0CfJ8=	qxbTTkE=	2006-08-01 00:00:00
66	0	Mr.	Alexander	J.	Deborde		Neighborhood Store	adventure-works\garrett1	alexander1@adventure-works.com	394-555-0176	QC+He1HXF5uNbU5XqduVyZW0SlvdnAE2jhuD/06ukjE=	Uifpoxw=	2006-08-01 00:00:00
70	0	Mr.	Deepak		Kumar		Outdoor Aerobic Systems Company	adventure-works\jae0	deepak0@adventure-works.com	1 (11) 500 555-0122	0d3F0pfNxXFKEufM738j3/fA0at2eUlZA8ibqRnMr7M=	6fOTb8g=	2007-08-01 00:00:00
73	0	Ms.	Margaret	T.	Krupka		Outdoor Sports Supply	adventure-works\pamela0	margaret1@adventure-works.com	107-555-0132	dI+A6Ikk6Eh9ypKYxrAEHGdSxjzUhy8bEyDdFjggW9g=	09k9Tis=	2005-08-01 00:00:00
74	0	Mr.	Christopher	M.	Bright		Parcel Express Delivery Service	adventure-works\david8	christopher2@adventure-works.com	162-555-0166	jIw8zSChmDX3xmVInKUV46U77LBgW9C5vlIMvK4NqF8=	J9DNyhU=	2005-11-01 00:00:00
75	0	Ms.	Aidan		Delaney		Paint Supply	adventure-works\jillian0	aidan0@adventure-works.com	358-555-0188	6lcVqEc4gGgfW6DsOks/KuDIWIP5qFsrc8sXtmcwj6E=	DKu7/UM=	2005-09-01 00:00:00
76	0	Mr.	James	J.	Krow		Out-of-the-Way Hotels	adventure-works\jillian0	james11@adventure-works.com	265-555-0190	I2HiduC1LR4LnxkLk1SFZ0OCyPveKfbQ6Q4mjKnPiyA=	PJEpZaA=	2005-09-01 00:00:00
77	0	Mr.	Michael		Brundage		Mechanical Products Ltd.	adventure-works\shu0	michael13@adventure-works.com	128-555-0148	Ioh5Ss2cXrUAI8DZcSkQ/z92aEmHE0Wxqc6MdggjJQE=	MjQeaAE=	2006-08-01 00:00:00
78	0	Mr.	Stefan		Delmarco		Preferred Bikes	adventure-works\linda3	stefan0@adventure-works.com	819-555-0186	9rOycZRxDntXWB8Y/285x4HS6G2ATNOzhqIhF+oBGqc=	BsI2IB4=	2005-08-01 00:00:00
79	0	Mr.	Mitch		Kennedy		Reasonable Bicycle Sales	adventure-works\shu0	mitch0@adventure-works.com	996-555-0192	Re4KikAJLZeLX+pM2Bw7HZNkd5Yyd/vrGB7WhjbYmCo=	lGI5cA0=	2006-08-01 00:00:00
82	0	Mr.	James	D.	Kramer		Refined Department Stores	adventure-works\josé1	james10@adventure-works.com	814-555-0130	8x6bpv0tFDausfY5Z8RQwPKRz3E+N1BszPMzVAsq5kg=	5NcSbeg=	2006-07-01 00:00:00
83	0	Mr.	Eric	J.	Brumfield		Requisite Part Supply	adventure-works\josé1	eric3@adventure-works.com	644-555-0114	pd7lPYE+Gn7QnX4l6aMxG6WiRZGpPVsBcJ1kBpXl7pc=	MAOhXKA=	2005-07-01 00:00:00
84	0	Ms.	Della	F.	Demott Jr		Rewarding Activities Company	adventure-works\garrett1	della0@adventure-works.com	752-555-0185	oR9ACW0ZX4v6zBa57CfhePKM1qmHjgDwNdGaTDAp4io=	966Lz4w=	2005-08-01 00:00:00
88	0	Ms.	Pamala	M.	Kotc		Closest Bicycle Store	adventure-works\jae0	pamala0@adventure-works.com	1 (11) 500 555-0173	3nXek8BFNaBhIi8CwSzQOVdo1ZthphI3kGbZTrt6jNM=	/rh9tFs=	2007-09-01 00:00:00
91	0	Ms.	Joy	R.	Koski		Scooters and Bikes Store	adventure-works\pamela0	joy0@adventure-works.com	810-555-0198	tTeR7tEh6XEQtr0WQ2eXrHrqjsOt2mdihjWZ3c4q50s=	IrqLpXQ=	2005-09-01 00:00:00
92	0	Ms.	Jovita	A.	Carmody		Sports Commodities	adventure-works\david8	jovita0@adventure-works.com	646-555-0137	d3uGruCihzt7+Dipsh3+fE3iZd/uKCf8sy56xa5chxU=	zmqmiAQ=	2005-09-01 00:00:00
93	0	Mr.	Prashanth		Desai		Stationary Bikes and Stands	adventure-works\jillian0	prashanth0@adventure-works.com	138-555-0156	AT0SeSL9gTlDL0/MHFMEy5GrEjR12DBF5ag/cyHZpJY=	l32Vf08=	2005-09-01 00:00:00
94	0	Mr.	Scott		Konersmann		Specialty Sports Store	adventure-works\jillian0	scott6@adventure-works.com	556-555-0192	2WMJfIzZjrB1xeQtjtSTUQfxxeowOV9LmAjmUkH/qP4=	A+rOrG0=	2006-07-01 00:00:00
95	0	Ms.	Jane	N.	Carmichael		Rural Department Store	adventure-works\shu0	jane0@adventure-works.com	716-555-0167	ZIXjFmD2T/Gf9bPHIkx7X82eU+I86/8p3rmYxWqwtkQ=	BUBjqIQ=	2007-07-01 00:00:00
96	0	Ms.	Bonnie	B.	Lepro		More Bikes!	adventure-works\linda3	bonnie2@adventure-works.com	354-555-0130	QFcESEnv3fd3s0KxftaNIRbKv6ba7PNXWLVrlx/mrF4=	WVm7PpY=	2005-09-01 00:00:00
97	0	Mr.	Eugene		Kogan		Mountain Bike Center	adventure-works\shu0	eugene2@adventure-works.com	136-555-0134	Tp1Zre+rOA0pmlkyosHvuAxhbMWt7UcvCPrAYmXyI+w=	GdsdWsk=	2006-08-01 00:00:00
